,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022
The Composite of the Nine Areas,95.4,97.9,101.9,104.8,103.8,103.4,105,107.3,108.4,108.3,106.9,110.6,117.1,120,120,119.8,119.8,122,124.2,126.3,128.3,128.6
"Halifax, NS",98.5,99.4,100.4,101.7,102,102.2,105.1,108.4,108.7,109.6,107.5,105.2,109.6,109.8,113,113.7,117.9,123.7,126.4,123,119.9,119.9
"Montreal, QC",98.4,98.5,100,103.1,101.6,101.9,103.9,104.3,103.3,104.9,107.9,108.4,111.2,112.6,113.8,115.7,118,122.6,122.7,122.1,120.9,120.5
"Quebec, QC",101.6,100.7,99.2,98.5,98,97.4,97.8,100,98.3,96.3,95.7,96.6,96.4,95.1,96,98.9,99.8,102.3,99.5,97.7,94.4,94.4
"Ottawa-Gatineau, ON,QC",101.5,99.6,101.3,97.6,98.9,101.5,103.3,103.3,107.4,117,120.6,124.7,131.7,135.2,135.2,136.1,136.1,137.2,140.4,140.4,139.6,138.4
"Toronto, ON",97.2,99.3,100.8,102.7,104.6,105,105.7,109.3,110.1,110.1,108.2,116.3,125.6,130,129.7,129.1,128.5,131.2,134.8,138,140,138.3
"Calgary, AB",100.9,102.4,99.5,97.1,95.9,92.3,92.6,89,86,84.4,82.9,79.8,78,78,77.5,78.6,78.7,79.4,80.5,80.9,80.9,83.4
"Edmonton, AB",100.2,100.4,100.1,99.3,98.6,97.9,97.6,94.7,94.2,93.9,92.2,91.3,89.3,89.6,88.4,85.9,85.8,87.9,88.4,85.9,85.4,88.4
"Vancouver, BC",91.6,95.4,104,109,103.7,101.7,104.6,106,108.9,107.2,105.1,104.3,109.2,111.2,111.4,110.8,110.8,111.9,112.8,115.2,119.6,124
"Victoria, BC",96,97.3,102.6,104,104.9,108,114,118.8,119.4,129.2,130.3,137.9,141.3,141.7,139.9,139.3,142.3,142.6,145.3,143.8,145.7,144.3